split,segment_name,waymo_weather,predicted_weather,prediction_confidence,prob_sun_clear,prob_cloudy,prob_foggy,prob_rain,prob_snow,location,time_of_day,total_frames,labeled_frames,date,day_of_week,hour_of_day,local_time,tfrecord
train,10231929575853664160_1160_000_1180_000,sunny,rain/storm,0.9657,0.0009,0.0177,0.0037,0.9657,0.0121,location_sf,Day,199,30,2019-05-14,Tuesday,7,07:32:32,segment-10231929575853664160_1160_000_1180_000_with_camera_labels.tfrecord
train,10235335145367115211_5420_000_5440_000,sunny,rain/storm,0.9647,0.0006,0.0056,0.0038,0.9647,0.0254,location_sf,Day,199,30,2019-03-26,Tuesday,8,08:46:57,segment-10235335145367115211_5420_000_5440_000_with_camera_labels.tfrecord
train,10241508783381919015_2889_360_2909_360,sunny,cloudy/overcast,0.6114,0.1079,0.6114,0.111,0.1683,0.0015,location_phx,Night,198,30,2017-10-05,Thursday,21,21:46:11,segment-10241508783381919015_2889_360_2909_360_with_camera_labels.tfrecord
train,10275144660749673822_5755_561_5775_561,sunny,sun/clear,0.894,0.894,0.0217,0.0066,0.0575,0.0201,location_phx,Day,198,30,2017-12-09,Saturday,15,15:53:43,segment-10275144660749673822_5755_561_5775_561_with_camera_labels.tfrecord
train,10327752107000040525_1120_000_1140_000,sunny,rain/storm,0.8765,0.0041,0.0303,0.0326,0.8765,0.0565,location_sf,Day,198,30,2019-03-21,Thursday,9,09:06:16,segment-10327752107000040525_1120_000_1140_000_with_camera_labels.tfrecord
train,10391312872392849784_4099_400_4119_400,sunny,rain/storm,0.9895,0.0001,0.0046,0.002,0.9895,0.0037,location_phx,Day,199,60,2017-11-17,Friday,11,11:21:06,segment-10391312872392849784_4099_400_4119_400_with_camera_labels.tfrecord
train,10444454289801298640_4360_000_4380_000,sunny,rain/storm,0.7441,0.0134,0.0825,0.0052,0.7441,0.1548,location_sf,Day,199,30,2019-05-06,Monday,10,10:15:14,segment-10444454289801298640_4360_000_4380_000_with_camera_labels.tfrecord
train,10455472356147194054_1560_000_1580_000,sunny,rain/storm,0.746,0.0118,0.0661,0.0015,0.746,0.1746,location_sf,Day,199,30,2019-05-08,Wednesday,10,10:13:14,segment-10455472356147194054_1560_000_1580_000_with_camera_labels.tfrecord
train,10485926982439064520_4980_000_5000_000,sunny,snow/frosty,0.9029,0.0001,0.0027,0.003,0.0913,0.9029,location_sf,Day,198,30,2018-11-26,Monday,8,08:54:35,segment-10485926982439064520_4980_000_5000_000_with_camera_labels.tfrecord
train,10498013744573185290_1240_000_1260_000,sunny,rain/storm,0.9492,0.0037,0.0249,0.0043,0.9492,0.0179,location_sf,Day,199,30,2019-05-08,Wednesday,18,18:06:34,segment-10498013744573185290_1240_000_1260_000_with_camera_labels.tfrecord
train,10500357041547037089_1474_800_1494_800,sunny,sun/clear,0.6923,0.6923,0.0428,0.0048,0.181,0.0791,location_phx,Day,199,20,2017-10-29,Sunday,10,10:32:47,segment-10500357041547037089_1474_800_1494_800_with_camera_labels.tfrecord
train,10517728057304349900_3360_000_3380_000,sunny,sun/clear,0.9786,0.9786,0.0127,0.0003,0.0057,0.0027,location_sf,Day,199,30,2019-03-29,Friday,16,16:17:26,segment-10517728057304349900_3360_000_3380_000_with_camera_labels.tfrecord
train,1051897962568538022_238_170_258_170,sunny,sun/clear,0.8953,0.8953,0.0349,0.0032,0.0465,0.02,location_phx,Day,198,40,2017-10-28,Saturday,16,16:10:55,segment-1051897962568538022_238_170_258_170_with_camera_labels.tfrecord
train,10526338824408452410_5714_660_5734_660,sunny,sun/clear,0.9752,0.9752,0.0087,0.0006,0.0062,0.0093,location_phx,Day,199,40,2017-11-22,Wednesday,12,12:47:50,segment-10526338824408452410_5714_660_5734_660_with_camera_labels.tfrecord
train,10584247114982259878_490_000_510_000,sunny,rain/storm,0.7177,0.0164,0.1385,0.1235,0.7177,0.0039,location_phx,Night,197,20,2018-02-27,Tuesday,21,21:43:48,segment-10584247114982259878_490_000_510_000_with_camera_labels.tfrecord
train,10588771936253546636_2300_000_2320_000,sunny,sun/clear,0.857,0.857,0.034,0.0011,0.09,0.0179,location_sf,Day,199,20,2019-03-15,Friday,10,10:39:27,segment-10588771936253546636_2300_000_2320_000_with_camera_labels.tfrecord
train,10596949720463106554_1933_530_1953_530,sunny,sun/clear,0.7358,0.7358,0.0458,0.0077,0.1823,0.0284,location_phx,Day,198,20,2017-10-25,Wednesday,16,16:41:08,segment-10596949720463106554_1933_530_1953_530_with_camera_labels.tfrecord
train,10599748131695282446_1380_000_1400_000,sunny,rain/storm,0.935,0.0011,0.0243,0.0063,0.935,0.0333,location_sf,Day,198,20,2019-05-16,Thursday,12,12:11:17,segment-10599748131695282446_1380_000_1400_000_with_camera_labels.tfrecord
train,10625026498155904401_200_000_220_000,sunny,rain/storm,0.797,0.0296,0.1506,0.0059,0.797,0.0169,location_sf,Day,198,30,2019-05-16,Thursday,15,15:36:50,segment-10625026498155904401_200_000_220_000_with_camera_labels.tfrecord
train,10664823084372323928_4360_000_4380_000,sunny,rain/storm,0.9521,0.0015,0.0136,0.0056,0.9521,0.0273,location_sf,Day,198,20,2019-05-16,Thursday,8,08:13:41,segment-10664823084372323928_4360_000_4380_000_with_camera_labels.tfrecord
train,10676267326664322837_311_180_331_180,sunny,sun/clear,0.9858,0.9858,0.0071,0.0002,0.0047,0.0022,location_phx,Day,198,30,2017-10-14,Saturday,14,14:40:13,segment-10676267326664322837_311_180_331_180_with_camera_labels.tfrecord
train,10723911392655396041_860_000_880_000,sunny,rain/storm,0.6467,0.0159,0.2445,0.0214,0.6467,0.0715,location_sf,Day,198,30,2019-05-29,Wednesday,17,17:32:41,segment-10723911392655396041_860_000_880_000_with_camera_labels.tfrecord
train,10724020115992582208_7660_400_7680_400,sunny,cloudy/overcast,0.5161,0.1371,0.5161,0.1232,0.2214,0.0023,location_phx,Night,198,30,2017-10-06,Friday,19,19:21:24,segment-10724020115992582208_7660_400_7680_400_with_camera_labels.tfrecord
train,10734565072045778791_440_000_460_000,sunny,sun/clear,0.8099,0.8099,0.0274,0.0134,0.0602,0.089,location_sf,Day,199,30,2019-02-21,Thursday,8,08:50:24,segment-10734565072045778791_440_000_460_000_with_camera_labels.tfrecord
train,10750135302241325253_180_000_200_000,sunny,rain/storm,0.7836,0.0097,0.012,0.0045,0.7836,0.1902,location_sf,Day,199,30,2019-03-27,Wednesday,7,07:36:55,segment-10750135302241325253_180_000_200_000_with_camera_labels.tfrecord
train,10770759614217273359_1465_000_1485_000,sunny,cloudy/overcast,0.3675,0.3139,0.3675,0.0399,0.1771,0.1015,location_phx,Day,199,30,2018-04-02,Monday,17,17:10:38,segment-10770759614217273359_1465_000_1485_000_with_camera_labels.tfrecord
train,10786629299947667143_3440_000_3460_000,sunny,rain/storm,0.6906,0.0159,0.1372,0.0767,0.6906,0.0796,location_sf,Day,198,30,2018-11-29,Thursday,10,10:09:09,segment-10786629299947667143_3440_000_3460_000_with_camera_labels.tfrecord
train,10793018113277660068_2714_540_2734_540,sunny,sun/clear,0.9807,0.9807,0.0081,0.0016,0.0034,0.0061,location_phx,Day,198,20,2017-10-02,Monday,15,15:08:59,segment-10793018113277660068_2714_540_2734_540_with_camera_labels.tfrecord
train,1083056852838271990_4080_000_4100_000,sunny,snow/frosty,0.571,0.0006,0.0055,0.1264,0.2965,0.571,location_sf,Day,199,30,2019-02-13,Wednesday,10,10:06:07,segment-1083056852838271990_4080_000_4100_000_with_camera_labels.tfrecord
train,10876852935525353526_1640_000_1660_000,sunny,rain/storm,0.8224,0.0158,0.0133,0.0054,0.8224,0.143,location_sf,Dawn/Dusk,199,30,2019-02-08,Friday,7,07:10:58,segment-10876852935525353526_1640_000_1660_000_with_camera_labels.tfrecord
train,10923963890428322967_1445_000_1465_000,sunny,sun/clear,0.8577,0.8577,0.0984,0.0097,0.0203,0.0141,location_phx,Day,199,30,2018-04-03,Tuesday,12,12:48:34,segment-10923963890428322967_1445_000_1465_000_with_camera_labels.tfrecord
train,10927752430968246422_4940_000_4960_000,sunny,rain/storm,0.7309,0.008,0.0193,0.1098,0.7309,0.1319,location_sf,Day,197,30,2018-11-27,Tuesday,15,15:23:19,segment-10927752430968246422_4940_000_4960_000_with_camera_labels.tfrecord
train,10940952441434390507_1888_710_1908_710,sunny,sun/clear,0.95,0.95,0.0371,0.0009,0.0077,0.0043,location_phx,Day,198,30,2018-01-03,Wednesday,12,12:47:00,segment-10940952441434390507_1888_710_1908_710_with_camera_labels.tfrecord
train,10963653239323173269_1924_000_1944_000,sunny,sun/clear,0.9306,0.9306,0.0165,0.002,0.0099,0.0411,location_phx,Day,199,20,2017-10-26,Thursday,10,10:34:42,segment-10963653239323173269_1924_000_1944_000_with_camera_labels.tfrecord
train,10964956617027590844_1584_680_1604_680,sunny,sun/clear,0.9603,0.9603,0.0171,0.0013,0.0162,0.0051,location_phx,Day,197,40,2017-10-25,Wednesday,16,16:14:49,segment-10964956617027590844_1584_680_1604_680_with_camera_labels.tfrecord
train,10975280749486260148_940_000_960_000,sunny,rain/storm,0.675,0.0707,0.1276,0.1167,0.675,0.01,location_other,Night,189,29,2018-03-16,Friday,6,06:29:17,segment-10975280749486260148_940_000_960_000_with_camera_labels.tfrecord
train,11004685739714500220_2300_000_2320_000,sunny,sun/clear,0.4932,0.4932,0.4773,0.0034,0.0235,0.0026,location_sf,Day,199,30,2019-03-26,Tuesday,15,15:44:37,segment-11004685739714500220_2300_000_2320_000_with_camera_labels.tfrecord
train,11017034898130016754_697_830_717_830,sunny,rain/storm,0.8761,0.0034,0.012,0.0106,0.8761,0.0979,location_other,Dawn/Dusk,197,29,2017-10-10,Tuesday,7,07:46:07,segment-11017034898130016754_697_830_717_830_with_camera_labels.tfrecord
train,11060291335850384275_3761_210_3781_210,sunny,sun/clear,0.831,0.831,0.0457,0.0158,0.0648,0.0426,location_phx,Day,199,40,2018-03-23,Friday,17,17:57:51,segment-11060291335850384275_3761_210_3781_210_with_camera_labels.tfrecord
train,11070802577416161387_740_000_760_000,sunny,rain/storm,0.9445,0.0001,0.0013,0.002,0.9445,0.0522,location_sf,Day,198,20,2019-05-06,Monday,9,09:14:54,segment-11070802577416161387_740_000_760_000_with_camera_labels.tfrecord
train,11076364019363412893_1711_000_1731_000,sunny,foggy/hazy,0.5225,0.0024,0.018,0.5225,0.3746,0.0825,location_other,Day,195,39,2018-03-13,Tuesday,17,17:58:35,segment-11076364019363412893_1711_000_1731_000_with_camera_labels.tfrecord
train,11113047206980595400_2560_000_2580_000,sunny,rain/storm,0.8263,0.0099,0.0593,0.0081,0.8263,0.0963,location_sf,Day,198,30,2019-05-14,Tuesday,10,10:30:50,segment-11113047206980595400_2560_000_2580_000_with_camera_labels.tfrecord
train,11119453952284076633_1369_940_1389_940,sunny,sun/clear,0.77,0.77,0.096,0.0204,0.0704,0.0432,location_phx,Day,199,30,2017-10-30,Monday,12,12:58:09,segment-11119453952284076633_1369_940_1389_940_with_camera_labels.tfrecord
train,11126313430116606120_1439_990_1459_990,sunny,rain/storm,0.722,0.1625,0.0367,0.0248,0.722,0.054,location_phx,Day,198,50,2017-10-02,Monday,9,09:22:01,segment-11126313430116606120_1439_990_1459_990_with_camera_labels.tfrecord
train,11139647661584646830_5470_000_5490_000,sunny,foggy/hazy,0.9297,0.0294,0.0294,0.9297,0.01,0.0015,location_phx,Dawn/Dusk,199,30,2018-02-14,Wednesday,18,18:09:14,segment-11139647661584646830_5470_000_5490_000_with_camera_labels.tfrecord
train,11183906854663518829_2294_000_2314_000,sunny,rain/storm,0.3456,0.1168,0.2254,0.1352,0.3456,0.177,location_phx,Day,199,30,2018-03-11,Sunday,8,08:28:55,segment-11183906854663518829_2294_000_2314_000_with_camera_labels.tfrecord
train,11199484219241918646_2810_030_2830_030,sunny,sun/clear,0.9915,0.9915,0.0055,0.0002,0.0008,0.002,location_phx,Day,199,30,2017-10-10,Tuesday,12,12:43:16,segment-11199484219241918646_2810_030_2830_030_with_camera_labels.tfrecord
train,11219370372259322863_5320_000_5340_000,sunny,rain/storm,0.5418,0.0797,0.0783,0.179,0.5418,0.1213,location_sf,Day,198,30,2018-11-27,Tuesday,15,15:29:39,segment-11219370372259322863_5320_000_5340_000_with_camera_labels.tfrecord
train,11236550977973464715_3620_000_3640_000,sunny,rain/storm,0.8187,0.0044,0.0159,0.0251,0.8187,0.1359,location_sf,Day,199,30,2019-05-15,Wednesday,16,16:28:56,segment-11236550977973464715_3620_000_3640_000_with_camera_labels.tfrecord
train,11252086830380107152_1540_000_1560_000,sunny,rain/storm,0.9739,0.001,0.0044,0.0083,0.9739,0.0124,location_sf,Dawn/Dusk,198,30,2018-11-26,Monday,17,17:05:58,segment-11252086830380107152_1540_000_1560_000_with_camera_labels.tfrecord
train,11318901554551149504_520_000_540_000,sunny,rain/storm,0.8539,0.0021,0.0118,0.0067,0.8539,0.1255,location_sf,Day,199,30,2019-05-08,Wednesday,10,10:54:32,segment-11318901554551149504_520_000_540_000_with_camera_labels.tfrecord
train,11343624116265195592_5910_530_5930_530,sunny,sun/clear,0.9838,0.9838,0.0093,0.0003,0.0009,0.0057,location_phx,Day,199,50,2018-03-23,Friday,14,14:04:45,segment-11343624116265195592_5910_530_5930_530_with_camera_labels.tfrecord
train,11355519273066561009_5323_000_5343_000,sunny,foggy/hazy,0.9097,0.0225,0.0268,0.9097,0.0317,0.0093,location_phx,Dawn/Dusk,199,30,2018-02-14,Wednesday,18,18:06:47,segment-11355519273066561009_5323_000_5343_000_with_camera_labels.tfrecord
train,11379226583756500423_6230_810_6250_810,sunny,sun/clear,0.9585,0.9585,0.0174,0.0009,0.0188,0.0044,location_phx,Day,198,40,2017-10-10,Tuesday,12,12:58:18,segment-11379226583756500423_6230_810_6250_810_with_camera_labels.tfrecord
train,11388947676680954806_5427_320_5447_320,sunny,sun/clear,0.5126,0.5126,0.0488,0.0045,0.4021,0.0321,location_other,Day,198,30,2017-10-05,Thursday,17,17:34:21,segment-11388947676680954806_5427_320_5447_320_with_camera_labels.tfrecord
train,11392401368700458296_1086_429_1106_429,sunny,sun/clear,0.9463,0.9463,0.0135,0.0038,0.0249,0.0115,location_phx,Day,194,30,2017-10-27,Friday,14,14:30:27,segment-11392401368700458296_1086_429_1106_429_with_camera_labels.tfrecord
train,11454085070345530663_1905_000_1925_000,sunny,sun/clear,0.8828,0.8828,0.0716,0.0071,0.0219,0.0166,location_phx,Day,199,40,2018-04-01,Sunday,12,12:58:50,segment-11454085070345530663_1905_000_1925_000_with_camera_labels.tfrecord
train,1146261869236413282_1680_000_1700_000,sunny,rain/storm,0.9425,0.0165,0.032,0.0032,0.9425,0.0059,location_sf,Day,198,30,2019-05-20,Monday,18,18:12:15,segment-1146261869236413282_1680_000_1700_000_with_camera_labels.tfrecord
train,11486225968269855324_92_000_112_000,sunny,rain/storm,0.8621,0.0639,0.0212,0.0096,0.8621,0.0432,location_other,Day,199,30,2018-03-03,Saturday,8,08:25:29,segment-11486225968269855324_92_000_112_000_with_camera_labels.tfrecord
train,11489533038039664633_4820_000_4840_000,sunny,rain/storm,0.8467,0.005,0.1156,0.019,0.8467,0.0137,location_sf,Day,199,30,2018-11-26,Monday,15,15:42:48,segment-11489533038039664633_4820_000_4840_000_with_camera_labels.tfrecord
train,11566385337103696871_5740_000_5760_000,sunny,rain/storm,0.5847,0.2315,0.1185,0.0049,0.5847,0.0604,location_sf,Day,198,30,2019-02-07,Thursday,10,10:37:30,segment-11566385337103696871_5740_000_5760_000_with_camera_labels.tfrecord
train,11588853832866011756_2184_462_2204_462,sunny,sun/clear,0.9852,0.9852,0.0083,0.0008,0.0022,0.0034,location_phx,Day,198,30,2017-10-26,Thursday,11,11:12:28,segment-11588853832866011756_2184_462_2204_462_with_camera_labels.tfrecord
train,11623618970700582562_2840_367_2860_367,sunny,sun/clear,0.9291,0.9291,0.0218,0.0021,0.0355,0.0115,location_phx,Day,199,30,2017-12-18,Monday,12,12:49:50,segment-11623618970700582562_2840_367_2860_367_with_camera_labels.tfrecord
train,11674150664140226235_680_000_700_000,sunny,rain/storm,0.608,0.2142,0.0341,0.0065,0.608,0.1372,location_sf,Day,199,30,2019-01-02,Wednesday,16,16:13:06,segment-11674150664140226235_680_000_700_000_with_camera_labels.tfrecord
train,11718898130355901268_2300_000_2320_000,sunny,rain/storm,0.852,0.0015,0.0148,0.0052,0.852,0.1265,location_sf,Day,198,30,2019-05-16,Thursday,7,07:39:21,segment-11718898130355901268_2300_000_2320_000_with_camera_labels.tfrecord
train,1172406780360799916_1660_000_1680_000,sunny,rain/storm,0.5829,0.0002,0.0066,0.019,0.5829,0.3913,location_sf,Day,198,30,2019-03-25,Monday,8,08:02:14,segment-1172406780360799916_1660_000_1680_000_with_camera_labels.tfrecord
train,11799592541704458019_9828_750_9848_750,sunny,sun/clear,0.9921,0.9921,0.0049,0.0004,0.0014,0.0012,location_phx,Day,199,20,2017-10-02,Monday,8,08:56:48,segment-11799592541704458019_9828_750_9848_750_with_camera_labels.tfrecord
train,11839652018869852123_2565_000_2585_000,sunny,sun/clear,0.7865,0.7865,0.057,0.0152,0.1028,0.0385,location_phx,Day,198,25,2018-04-04,Wednesday,10,10:18:49,segment-11839652018869852123_2565_000_2585_000_with_camera_labels.tfrecord
train,11846396154240966170_3540_000_3560_000,sunny,rain/storm,0.7845,0.0274,0.1276,0.0136,0.7845,0.0469,location_sf,Day,199,30,2019-03-28,Thursday,17,17:55:47,segment-11846396154240966170_3540_000_3560_000_with_camera_labels.tfrecord
train,11847506886204460250_1640_000_1660_000,sunny,rain/storm,0.9245,0.0004,0.004,0.0033,0.9245,0.0677,location_sf,Day,198,30,2019-05-09,Thursday,18,18:02:53,segment-11847506886204460250_1640_000_1660_000_with_camera_labels.tfrecord
train,1191788760630624072_3880_000_3900_000,sunny,rain/storm,0.526,0.0459,0.2918,0.0132,0.526,0.1231,location_sf,Day,199,30,2019-03-28,Thursday,15,15:24:30,segment-1191788760630624072_3880_000_3900_000_with_camera_labels.tfrecord
train,11918003324473417938_1400_000_1420_000,sunny,rain/storm,0.9361,0.0044,0.0067,0.002,0.9361,0.0508,location_sf,Day,198,30,2018-12-14,Friday,11,11:51:49,segment-11918003324473417938_1400_000_1420_000_with_camera_labels.tfrecord
train,11925224148023145510_1040_000_1060_000,sunny,rain/storm,0.5252,0.0005,0.0072,0.0055,0.5252,0.4616,location_sf,Day,199,30,2019-05-17,Friday,17,17:59:11,segment-11925224148023145510_1040_000_1060_000_with_camera_labels.tfrecord
train,11928449532664718059_1200_000_1220_000,sunny,rain/storm,0.8485,0.0026,0.0106,0.0045,0.8485,0.1337,location_sf,Day,199,20,2019-05-08,Wednesday,18,18:05:54,segment-11928449532664718059_1200_000_1220_000_with_camera_labels.tfrecord
train,11940460932056521663_1760_000_1780_000,sunny,rain/storm,0.8848,0.0023,0.033,0.0081,0.8848,0.0719,location_sf,Day,198,20,2019-05-21,Tuesday,17,17:11:37,segment-11940460932056521663_1760_000_1780_000_with_camera_labels.tfrecord
train,11967272535264406807_580_000_600_000,sunny,rain/storm,0.7243,0.0004,0.0074,0.0024,0.7243,0.2655,location_sf,Day,199,20,2019-05-14,Tuesday,15,15:39:52,segment-11967272535264406807_580_000_600_000_with_camera_labels.tfrecord
train,11971497357570544465_1200_000_1220_000,sunny,rain/storm,0.8707,0.0004,0.0044,0.0045,0.8707,0.1199,location_sf,Dawn/Dusk,175,27,2019-02-04,Monday,7,07:13:58,segment-11971497357570544465_1200_000_1220_000_with_camera_labels.tfrecord
train,12012663867578114640_820_000_840_000,sunny,cloudy/overcast,0.4601,0.1228,0.4601,0.0557,0.3332,0.0281,location_sf,Day,199,30,2019-03-29,Friday,18,18:20:39,segment-12012663867578114640_820_000_840_000_with_camera_labels.tfrecord
train,12027892938363296829_4086_280_4106_280,sunny,rain/storm,0.6108,0.1139,0.1381,0.0475,0.6108,0.0898,location_phx,Day,198,30,2017-11-07,Tuesday,12,12:06:27,segment-12027892938363296829_4086_280_4106_280_with_camera_labels.tfrecord
train,1208303279778032257_1360_000_1380_000,sunny,rain/storm,0.4947,0.0874,0.0973,0.0064,0.4947,0.3144,location_sf,Day,198,30,2019-03-25,Monday,7,07:57:14,segment-1208303279778032257_1360_000_1380_000_with_camera_labels.tfrecord
train,12161824480686739258_1813_380_1833_380,sunny,sun/clear,0.8133,0.8133,0.1216,0.004,0.0426,0.0186,location_phx,Day,199,30,2017-11-13,Monday,16,16:01:12,segment-12161824480686739258_1813_380_1833_380_with_camera_labels.tfrecord
train,12174529769287588121_3848_440_3868_440,sunny,sun/clear,0.8946,0.8946,0.0814,0.0015,0.0081,0.0144,location_phx,Day,198,30,2017-11-14,Tuesday,13,13:30:23,segment-12174529769287588121_3848_440_3868_440_with_camera_labels.tfrecord
train,12179768245749640056_5561_070_5581_070,sunny,sun/clear,0.9831,0.9831,0.007,0.0023,0.0033,0.0043,location_phx,Day,199,30,2017-10-14,Saturday,8,08:58:23,segment-12179768245749640056_5561_070_5581_070_with_camera_labels.tfrecord
train,12200383401366682847_2552_140_2572_140,sunny,rain/storm,0.8332,0.0304,0.0795,0.0523,0.8332,0.0046,location_other,Night,199,30,2018-03-22,Thursday,21,21:09:09,segment-12200383401366682847_2552_140_2572_140_with_camera_labels.tfrecord
train,12208410199966712301_4480_000_4500_000,sunny,rain/storm,0.7294,0.0028,0.0429,0.119,0.7294,0.1059,location_sf,Day,198,30,2018-11-29,Thursday,10,10:26:29,segment-12208410199966712301_4480_000_4500_000_with_camera_labels.tfrecord
train,12212767626682531382_2100_150_2120_150,sunny,rain/storm,0.6991,0.0191,0.1055,0.0263,0.6991,0.15,location_phx,Dawn/Dusk,199,30,2017-10-21,Saturday,17,17:36:36,segment-12212767626682531382_2100_150_2120_150_with_camera_labels.tfrecord
train,12251442326766052580_1840_000_1860_000,sunny,rain/storm,0.7199,0.0001,0.0037,0.0059,0.7199,0.2704,location_sf,Day,198,30,2019-05-14,Tuesday,7,07:43:52,segment-12251442326766052580_1840_000_1860_000_with_camera_labels.tfrecord
train,12257951615341726923_2196_690_2216_690,sunny,sun/clear,0.4493,0.4493,0.0537,0.0296,0.4174,0.05,location_phx,Day,198,40,2017-10-28,Saturday,16,16:43:16,segment-12257951615341726923_2196_690_2216_690_with_camera_labels.tfrecord
train,12273083120751993429_7285_000_7305_000,sunny,sun/clear,0.9848,0.9848,0.0061,0.0022,0.0017,0.0051,location_phx,Day,198,40,2018-04-03,Tuesday,12,12:41:59,segment-12273083120751993429_7285_000_7305_000_with_camera_labels.tfrecord
train,12281202743097872109_3387_370_3407_370,sunny,cloudy/overcast,0.4946,0.0307,0.4946,0.069,0.3136,0.0921,location_phx,Dawn/Dusk,199,30,2017-10-22,Sunday,6,06:44:03,segment-12281202743097872109_3387_370_3407_370_with_camera_labels.tfrecord
train,12303641360375776820_4378_000_4398_000,sunny,rain/storm,0.5022,0.0377,0.2759,0.1811,0.5022,0.0031,location_other,Night,199,30,2018-01-08,Monday,21,21:59:09,segment-12303641360375776820_4378_000_4398_000_with_camera_labels.tfrecord
train,12304907743194762419_1522_000_1542_000,sunny,rain/storm,0.445,0.0072,0.0404,0.3793,0.445,0.1281,location_phx,Day,198,20,2018-02-14,Wednesday,17,17:03:26,segment-12304907743194762419_1522_000_1542_000_with_camera_labels.tfrecord
